# 
# This file is written by the ANSYS DesignXplorer add-in and contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: s2
# Creation date: 03/05/2015 3:31:04 AM
# 
# 03/05/2015 3:31:04 AM
# The parameters defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P6 - V7, P7 - HALF_HEIGHT, P8 - D2
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P6, P7, P8
DP 0, 5, 7, 30, 5, 2, 6, 5, 6
# 
# A non parametric change occured and invalidated design point results.
# 03/05/2015 5:17:55 AM
# 
# 
# 03/05/2015 6:02:36 AM
# Parameters have been added and/or removed. The parameters now defined in the project are:
# P1 - H10, P2 - H11_MINUS_H10, P3 - H1_MINUS_H_11, P4 - V6, P5 - V3, P7 - HALF_HEIGHT, P8 - D2, P9 - Safety Factor Minimum, P10 - Solid Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name, P1, P2, P3, P4, P5, P7, P8, P9, P10
DP 16, 0.7, 7.6016666666666666, 34.853333333333332, 5.70537037037037, 4.2493333333333334, 5.4251360544217686, 6, 1.7350399931375184, 32.510931643980982
DP 17, 0.7, 7.6049999999999995, 34.128333333333337, 5.838703703703704, 4.4093333333333335, 5.4822789115646255, 6, 1.7589583139703682, 33.44319472883025
DP 18, 0.7, 7.6083333333333334, 34.528333333333336, 5.9720370370370368, 4.5693333333333337, 5.5394217687074825, 6, 1.847858648636088, 35.242374804135515
DP 19, 0.7, 7.6116666666666664, 34.328333333333333, 5.6312962962962958, 4.7293333333333338, 5.59656462585034, 6, 1.7927423991924472, 36.220772769227025
DP 20, 0.7, 7.615, 34.728333333333332, 5.7646296296296295, 4.8893333333333331, 5.6537074829931973, 6, 1.7832099385813827, 38.101053201405591
DP 21, 0.7, 7.6183333333333332, 34.228333333333332, 5.8979629629629624, 4.2813333333333334, 5.7108503401360542, 6, 1.7032784598710682, 34.323187248524576
DP 22, 0.7, 7.6216666666666661, 34.62833333333333, 5.67574074074074, 4.4413333333333336, 5.3761564625850333, 6, 1.7368939186705332, 33.182931503089108
DP 23, 0.7, 7.625, 34.428333333333335, 5.8090740740740738, 4.6013333333333337, 5.4332993197278912, 6, 1.7736850299566105, 34.503996526036019
DP 24, 0.7, 7.628333333333333, 34.828333333333333, 5.9424074074074076, 4.7613333333333339, 5.4904421768707481, 6, 1.7946733122007941, 36.32773321956774
DP 25, 0.7, 7.6316666666666668, 34.178333333333335, 5.7201851851851853, 4.9213333333333331, 5.547585034013605, 6, 1.8199112392494849, 37.025165190774231
DP 26, 0.7, 7.635, 34.578333333333333, 5.8535185185185181, 4.1597333333333335, 5.6047278911564629, 6, 1.9072180189095029, 33.096455787565695
